iter	Passed	Remaining
0	145	145741
1	146	73123
2	147	48906
3	147	36779
4	148	29514
5	148	24670
6	149	21209
7	150	18608
8	150	16579
9	151	14957
10	151	13632
11	152	12537
12	152	11606
13	153	10802
14	153	10108
15	154	9501
16	155	8964
17	155	8488
18	156	8059
19	156	7673
20	157	7324
21	157	7007
22	158	6719
23	158	6458
24	159	6215
25	160	5995
26	160	5787
27	161	5593
28	161	5414
29	162	5248
30	162	5089
31	163	4942
32	163	4801
33	164	4670
34	164	4546
35	165	4429
36	165	4318
37	166	4213
38	166	4114
39	167	4022
40	168	3934
41	168	3850
42	169	3770
43	169	3692
44	170	3617
45	170	3545
46	171	3477
47	172	3411
48	172	3348
49	173	3288
50	173	3230
51	174	3175
52	174	3122
53	175	3071
54	175	3023
55	176	2976
56	177	2930
57	177	2885
58	178	2841
59	178	2798
60	179	2757
61	179	2717
62	180	2679
63	180	2641
64	181	2606
65	181	2571
66	182	2537
67	182	2505
68	183	2473
69	183	2443
70	184	2413
71	184	2384
72	185	2356
73	186	2328
74	186	2301
75	187	2274
76	187	2249
77	188	2224
78	188	2200
79	189	2177
80	189	2154
81	190	2133
82	190	2109
83	191	2087
84	192	2066
85	192	2045
86	192	2025
87	193	2005
88	194	1986
89	194	1967
90	195	1949
91	195	1931
92	196	1914
93	196	1897
94	197	1880
95	197	1864
96	198	1847
97	198	1831
98	199	1815
99	200	1800
100	200	1784
101	201	1770
102	201	1756
103	202	1742
104	202	1729
105	203	1715
106	203	1701
107	204	1688
108	205	1676
109	205	1663
110	206	1651
111	206	1638
112	207	1626
113	207	1614
114	208	1602
115	208	1591
116	209	1579
117	209	1567
118	210	1556
119	210	1546
120	211	1535
121	211	1524
122	212	1514
123	212	1504
124	213	1494
125	214	1484
126	214	1474
127	214	1464
128	215	1455
129	216	1446
130	216	1437
131	217	1428
132	217	1419
133	218	1410
134	218	1401
135	219	1393
136	219	1385
137	220	1377
138	221	1369
139	221	1361
140	222	1353
141	222	1344
142	223	1336
143	223	1329
144	224	1321
145	224	1313
146	225	1306
147	225	1299
148	226	1292
149	226	1285
150	227	1277
151	227	1270
152	228	1263
153	228	1256
154	229	1249
155	229	1243
156	230	1237
157	230	1230
158	231	1224
159	231	1217
160	232	1210
161	232	1204
162	233	1198
163	233	1192
164	234	1186
165	235	1181
166	235	1175
167	236	1169
168	236	1163
169	237	1158
170	237	1152
171	238	1147
172	238	1141
173	239	1136
174	239	1130
175	240	1125
176	240	1119
177	241	1114
178	241	1109
179	242	1104
180	242	1099
181	243	1094
182	244	1089
183	244	1084
184	245	1080
185	245	1075
186	246	1070
187	246	1065
188	247	1061
189	247	1056
190	248	1052
191	248	1047
192	249	1043
193	250	1039
194	250	1034
195	251	1030
196	251	1025
197	252	1021
198	252	1017
199	253	1012
200	253	1008
201	254	1004
202	254	1000
203	255	996
204	255	992
205	256	988
206	256	984
207	257	980
208	258	976
209	258	973
210	259	969
211	259	965
212	260	961
213	260	958
214	261	954
215	261	950
216	262	946
217	262	942
218	263	939
219	263	935
220	264	931
221	264	928
222	265	925
223	266	921
224	266	918
225	267	914
226	267	911
227	268	907
228	268	904
229	269	901
230	269	898
231	270	894
232	270	891
233	271	888
234	271	885
235	272	882
236	272	878
237	273	875
238	273	872
239	274	869
240	274	865
241	275	862
242	275	859
243	276	856
244	276	853
245	277	850
246	278	847
247	278	844
248	279	842
249	279	839
250	280	836
251	280	833
252	281	830
253	281	828
254	282	825
255	282	822
256	283	819
257	284	817
258	284	814
259	285	811
260	285	808
261	286	806
262	286	803
263	287	800
264	287	798
265	288	795
266	288	793
267	289	790
268	289	787
269	290	785
270	291	782
271	291	780
272	292	777
273	292	775
274	293	772
275	293	770
276	294	767
277	294	765
278	295	763
279	296	761
280	296	758
281	297	756
282	297	753
283	298	751
284	298	749
285	299	746
286	299	744
287	300	742
288	300	740
289	301	737
290	301	735
291	302	733
292	302	730
293	303	728
294	303	726
295	304	724
296	304	721
297	305	719
298	306	717
299	306	715
300	307	713
301	307	711
302	308	709
303	308	707
304	309	704
305	309	702
306	310	701
307	311	699
308	311	696
309	312	694
310	312	692
311	313	690
312	313	688
313	314	686
314	314	684
315	315	682
316	315	680
317	316	678
318	316	676
319	317	674
320	318	672
321	318	670
322	319	668
323	319	667
324	320	665
325	320	663
326	321	661
327	321	659
328	322	657
329	322	655
330	323	653
331	324	651
332	324	650
333	325	648
334	325	646
335	326	644
336	326	642
337	327	640
338	327	639
339	328	637
340	329	635
341	329	634
342	330	632
343	330	630
344	331	628
345	331	627
346	332	625
347	332	623
348	333	621
349	333	619
350	334	618
351	334	616
352	335	614
353	335	612
354	336	611
355	336	609
356	337	607
357	337	605
358	338	604
359	338	602
360	339	600
361	340	599
362	340	597
363	341	596
364	341	594
365	342	593
366	342	591
367	343	589
368	343	588
369	344	586
370	344	584
371	345	583
372	345	581
373	346	579
374	346	578
375	347	576
376	348	575
377	348	573
378	348	571
379	349	570
380	349	568
381	350	567
382	350	565
383	351	563
384	352	562
385	352	560
386	353	559
387	353	557
388	354	556
389	354	554
390	355	553
391	355	552
392	356	550
393	356	549
394	357	547
395	358	546
396	358	544
397	359	543
398	359	541
399	360	540
400	360	538
401	361	537
402	361	535
403	362	534
404	362	532
405	363	531
406	363	530
407	364	528
408	364	527
409	365	525
410	365	524
411	366	523
412	366	521
413	367	520
414	367	518
415	368	517
416	368	515
417	369	514
418	369	512
419	370	511
420	371	510
421	371	509
422	372	507
423	372	506
424	373	505
425	374	503
426	374	502
427	375	501
428	375	499
429	376	498
430	376	497
431	377	496
432	377	494
433	378	493
434	379	492
435	379	491
436	380	489
437	380	488
438	381	487
439	381	485
440	382	484
441	382	483
442	383	481
443	383	480
444	384	479
445	384	477
446	385	476
447	385	475
448	386	474
449	386	472
450	387	471
451	387	470
452	388	468
453	388	467
454	389	466
455	389	464
456	390	463
457	390	462
458	391	461
459	391	459
460	392	458
461	392	457
462	393	455
463	393	454
464	394	453
465	394	452
466	394	450
467	395	449
468	395	448
469	396	447
470	396	445
471	397	444
472	397	443
473	398	441
474	398	440
475	399	439
476	399	438
477	400	437
478	400	435
479	401	434
480	401	433
481	402	432
482	402	431
483	403	429
484	403	428
485	404	427
486	404	426
487	405	425
488	405	423
489	406	422
490	406	421
491	407	420
492	407	419
493	408	418
494	408	416
495	409	415
496	409	414
497	410	413
498	410	412
499	410	410
500	411	409
501	411	408
502	412	407
503	412	406
504	413	405
505	413	404
506	414	402
507	414	401
508	415	400
509	415	399
510	416	398
511	416	397
512	417	396
513	417	395
514	418	393
515	418	392
516	419	391
517	419	390
518	420	389
519	420	388
520	421	387
521	421	386
522	422	384
523	422	383
524	423	382
525	423	381
526	423	380
527	424	379
528	424	378
529	425	377
530	425	376
531	426	375
532	426	373
533	427	372
534	427	371
535	428	370
536	428	369
537	429	368
538	429	367
539	430	366
540	430	365
541	431	364
542	431	363
543	432	362
544	432	361
545	433	360
546	433	359
547	434	358
548	434	357
549	435	356
550	435	354
551	436	353
552	436	352
553	437	351
554	437	350
555	438	349
556	438	348
557	438	347
558	439	346
559	439	345
560	440	344
561	440	343
562	441	342
563	441	341
564	442	340
565	442	339
566	443	338
567	443	337
568	444	336
569	444	335
570	445	334
571	445	333
572	446	332
573	446	331
574	447	330
575	447	329
576	448	328
